Set	Total
{MLS, macrolide, streptogramin b, macrolide/streptogramin, ml}	3
{MLS, macrolide, streptogramin b, macrolide/streptogramin, ml, multidrug}	1
{MLS, ml, streptogramin, streptogramin a}	7
{chloramphenicol, drug_and_biocide_resistance, multidrug}	1
{multidrug, phenicol}	12
{glycopeptide, tetracycline}	1
{aminoglycoside, trimethoprim}	1
{na, trimethoprim}	2
{drug_and_biocide_resistance, multidrug}	32
{beta-lactam, drug_and_biocide_and_metal_resistance, multidrug}	2
{tetracenomycin, tetracycline}	9
{lincosamide/streptogramin, ml, multidrug}	2
{polymyxin, polypeptide}	54
{efflux, multidrug}	6
{beta-lactam/macrolide/tetracycline, drug_and_biocide_resistance, efflux, multidrug}	1
{aminocoumarin, beta-lactam}	1
{MLS, macrolide, lincosamide, ml}	1
{drug_and_biocide_resistance, multidrug, phenicol/quinolone/trimethoprim, sulfonamide}	1
{aminoglycoside/beta-lactam/quinolone, drug_and_biocide_resistance, multidrug}	1
{beta-lactam, multidrug, tetracycline}	1
{cationic_antimicrobial_peptide, colistin, polymyxin}	1
{lipopeptide, multidrug, rifamycin}	1
{aminocoumarin, fosfomycin, quinolone}	1
{beta-lactam, mycobacterium_tuberculosis-specific_drug, rifampin}	1
{aminocoumarin, fluoroquinolone, quinolone}	1
{ethambutol, mycobacterium_tuberculosis-specific_drug}	3
{lipopeptide, peptide}	3
{lipopeptide, multidrug}	5
{beta-lactam, lipopeptide, peptide}	2
{beta-lactam, fluoroquinolone}	4
{aminoglycoside, lipopeptide}	2
{isoniazid, mycobacterium_tuberculosis-specific_drug}	4
{bacitracin, mycobacterium_tuberculosis-specific_drug}	4
{polymyxin, rifampin, rifamycin}	1
{MLS, lipopeptide}	1
{colistin, drug_and_biocide_resistance, multidrug}	1
{glycopeptide, mycobacterium_tuberculosis-specific_drug}	1
{multidrug, rifampin}	1
{MLS, mycobacterium_tuberculosis-specific_drug}	1
{beta-lactam, mycobacterium_tuberculosis-specific_drug}	3
{aminocoumarin, bacitracin, quinolone}	1
{fluoroquinolone, fosmidomycin}	1
{elfamycin, tetracycline}	8
{elfamycin, polyketide, tetracycline}	1
{beta-lactam, trimethoprim}	1
{beta-lactam, fluoroquinolone, quinolone}	6
{MLS, fluoroquinolone, quinolone}	1
